img_id,fold
10_patch_0000_0000,4
10_patch_0000_0001,4
10_patch_0000_0002,1
10_patch_0000_0003,1
10_patch_0000_0004,3
10_patch_0000_0005,4
10_patch_0000_0006,-1
10_patch_0000_0007,3
10_patch_0000_0008,1
10_patch_0000_0009,0
10_patch_0000_0010,4
10_patch_0000_0011,4
10_patch_0000_0012,0
10_patch_0000_0013,3
10_patch_0000_0014,0
10_patch_0000_0015,1
10_patch_0000_0016,0
10_patch_0000_0017,-1
10_patch_0000_0018,1
10_patch_0000_0019,3
10_patch_0000_0020,3
10_patch_0000_0021,4
10_patch_0000_0022,2
10_patch_0000_0023,1
10_patch_0000_0024,2
10_patch_0001_0000,1
10_patch_0001_0001,1
10_patch_0001_0002,3
10_patch_0001_0003,4
10_patch_0001_0004,4
10_patch_0001_0005,4
10_patch_0001_0006,3
10_patch_0001_0007,0
10_patch_0001_0008,3
10_patch_0001_0009,-1
10_patch_0001_0010,-1
10_patch_0001_0011,3
10_patch_0001_0012,1
10_patch_0001_0013,1
10_patch_0001_0014,3
10_patch_0001_0015,2
10_patch_0001_0016,4
10_patch_0001_0017,2
10_patch_0001_0018,2
10_patch_0001_0019,3
10_patch_0001_0020,2
10_patch_0001_0021,2
10_patch_0001_0022,3
10_patch_0001_0023,2
10_patch_0001_0024,0
10_patch_0002_0000,1
10_patch_0002_0001,2
10_patch_0002_0002,-1
10_patch_0002_0003,3
10_patch_0002_0004,3
10_patch_0002_0005,0
10_patch_0002_0006,4
10_patch_0002_0007,2
10_patch_0002_0008,2
10_patch_0002_0009,1
10_patch_0002_0010,3
10_patch_0002_0011,3
10_patch_0002_0012,3
10_patch_0002_0013,4
10_patch_0002_0014,3
10_patch_0002_0015,4
10_patch_0002_0016,3
10_patch_0002_0017,2
10_patch_0002_0018,1
10_patch_0002_0019,1
10_patch_0002_0020,4
10_patch_0002_0021,2
10_patch_0002_0022,1
10_patch_0002_0023,2
10_patch_0002_0024,4
10_patch_0003_0000,-1
10_patch_0003_0001,3
10_patch_0003_0002,4
10_patch_0003_0003,1
10_patch_0003_0004,2
10_patch_0003_0005,4
10_patch_0003_0006,4
10_patch_0003_0007,2
10_patch_0003_0008,3
10_patch_0003_0009,1
10_patch_0003_0010,4
10_patch_0003_0011,1
10_patch_0003_0012,1
10_patch_0003_0013,3
10_patch_0003_0014,1
10_patch_0003_0015,3
10_patch_0003_0016,3
10_patch_0003_0017,4
10_patch_0003_0018,4
10_patch_0003_0019,3
10_patch_0003_0020,1
10_patch_0003_0021,-1
10_patch_0003_0022,2
10_patch_0003_0023,4
10_patch_0003_0024,-1
10_patch_0004_0000,3
10_patch_0004_0001,2
10_patch_0004_0002,2
10_patch_0004_0003,3
10_patch_0004_0004,4
10_patch_0004_0005,3
10_patch_0004_0006,3
10_patch_0004_0007,3
10_patch_0004_0008,1
10_patch_0004_0009,4
10_patch_0004_0010,3
10_patch_0004_0011,2
10_patch_0004_0012,2
10_patch_0004_0013,1
10_patch_0004_0014,2
10_patch_0004_0015,3
10_patch_0004_0016,1
10_patch_0004_0017,1
10_patch_0004_0018,2
10_patch_0004_0019,2
10_patch_0004_0020,3
10_patch_0004_0021,4
10_patch_0004_0022,4
10_patch_0004_0023,3
10_patch_0004_0024,3
10_patch_0005_0000,0
10_patch_0005_0001,3
10_patch_0005_0002,1
10_patch_0005_0003,4
10_patch_0005_0004,4
10_patch_0005_0005,1
10_patch_0005_0006,3
10_patch_0005_0007,2
10_patch_0005_0008,2
10_patch_0005_0009,4
10_patch_0005_0010,2
10_patch_0005_0011,2
10_patch_0005_0012,3
10_patch_0005_0013,2
10_patch_0005_0014,4
10_patch_0005_0015,0
10_patch_0005_0016,1
10_patch_0005_0017,1
10_patch_0005_0018,4
10_patch_0005_0019,-1
10_patch_0005_0020,1
10_patch_0005_0021,3
10_patch_0005_0022,-1
10_patch_0005_0023,1
10_patch_0005_0024,0
10_patch_0006_0000,-1
10_patch_0006_0001,1
10_patch_0006_0002,3
10_patch_0006_0003,3
10_patch_0006_0004,1
10_patch_0006_0005,2
10_patch_0006_0006,2
10_patch_0006_0007,4
10_patch_0006_0008,1
10_patch_0006_0009,2
10_patch_0006_0010,2
10_patch_0006_0011,1
10_patch_0006_0012,1
10_patch_0006_0013,4
10_patch_0006_0014,1
10_patch_0006_0015,1
10_patch_0006_0016,3
10_patch_0006_0017,-1
10_patch_0006_0018,-1
10_patch_0006_0019,0
10_patch_0006_0020,0
10_patch_0006_0021,2
10_patch_0006_0022,1
10_patch_0006_0023,2
10_patch_0006_0024,2
10_patch_0007_0000,1
10_patch_0007_0001,1
10_patch_0007_0002,3
10_patch_0007_0003,2
10_patch_0007_0004,4
10_patch_0007_0005,3
10_patch_0007_0006,1
10_patch_0007_0007,3
10_patch_0007_0008,4
10_patch_0007_0009,4
10_patch_0007_0010,2
10_patch_0007_0011,1
10_patch_0007_0012,1
10_patch_0007_0013,4
10_patch_0007_0014,2
10_patch_0007_0015,1
10_patch_0007_0016,3
10_patch_0007_0017,4
10_patch_0007_0018,1
10_patch_0007_0019,-1
10_patch_0007_0020,2
10_patch_0007_0021,-1
10_patch_0007_0022,0
10_patch_0007_0023,4
10_patch_0007_0024,-1
10_patch_0008_0000,4
10_patch_0008_0001,4
10_patch_0008_0002,2
10_patch_0008_0003,3
10_patch_0008_0004,3
10_patch_0008_0005,4
10_patch_0008_0006,2
10_patch_0008_0007,1
10_patch_0008_0008,1
10_patch_0008_0009,2
10_patch_0008_0010,3
10_patch_0008_0011,3
10_patch_0008_0012,1
10_patch_0008_0013,2
10_patch_0008_0014,2
10_patch_0008_0015,4
10_patch_0008_0016,3
10_patch_0008_0017,4
10_patch_0008_0018,3
10_patch_0008_0019,4
10_patch_0008_0020,2
10_patch_0008_0021,2
10_patch_0008_0022,4
10_patch_0008_0023,1
10_patch_0008_0024,4
10_patch_0009_0000,3
10_patch_0009_0001,4
10_patch_0009_0002,2
10_patch_0009_0003,1
